('4309332', 221.28671095898238)
('321042', 221.28671095898238)
('37398951', 221.28671095898238)
('312653', 220.89911089475447)
('4143969', 220.89911089475447)
('314383', 220.89911089475447)
('4317816', 220.50679572164813)
('4009303', 220.2353743830648)
('316139', 220.00149235621265)
('439846', 220.00149235621265)
('4230221', 219.9397947044261)
('4340380', 219.87962153887042)
('4198296', 219.60221928211942)
('257011', 219.1481324816416)
('438391', 218.70897677622753)
('437390', 218.03594177332008)
('439254', 217.9281753295384)
('40165345', 217.76149361741432)
('199867', 217.57901821606555)
('440460', 217.5447173075765)
('4218017', 217.47131978088464)
('4220313', 217.47131978088464)
('192680', 217.26836084647036)
('320128', 217.26836084647036)
('321074', 217.26836084647036)
('4118910', 217.26836084647036)
('4167493', 217.26836084647036)
('4311246', 217.26836084647036)
('46269881', 217.06350225594477)
('46269886', 217.06350225594477)
('46269876', 217.06350225594477)
('46269890', 217.06350225594477)
('440977', 217.04444683077455)
('4143351', 217.04444683077455)
('4224254', 216.81725720540425)
('4228443', 216.81725720540425)
('201530', 216.81725720540425)
('197490', 216.73859872584194)
('4147683', 216.69465251104052)
('4055369', 216.3264457455188)
('436664', 216.29872080862071)
('261495', 215.86690026420086)
('374270', 215.86690026420086)
('432236', 215.86690026420086)
('434557', 215.86690026420086)
('4003404', 215.86690026420086)
('4153291', 215.86690026420086)
('81496', 215.86690026420086)
('134851', 215.86690026420086)
('374267', 215.86690026420086)
('441775', 215.86690026420086)
('433749', 215.34669686814422)
('435076', 215.34669686814422)
('432554', 215.2823295624944)
('4132082', 214.86524671487814)
('4133017', 214.86524671487814)
('3000593', 214.08226900924413)
('4340375', 213.95881607746387)
('42536547', 213.95881607746387)
('3040373', 212.21544572786271)
('314667', 212.19769770883)
('198307', 211.87833737633616)
('45757767', 211.58518351473705)
('4134162', 211.32393849858516)
('37116369', 210.95780520474835)
('254761', 210.91733719508096)
('313236', 210.91733719508096)
('4078700', 210.80636728618654)
('378726', 210.07324900497014)
('432436', 209.78777095865917)
('529686', 209.56106643391308)
('596894', 209.56106643391308)
('46270037', 209.5210032687618)
('4170620', 208.7044721478763)
('4314247', 208.38457423034822)
('40232612', 207.99461871763845)
('40234552', 207.99461871763845)
('45769832', 207.9571415837128)
('440066', 207.36911424239673)
('45773064', 206.96516386483523)
('19055137', 206.9421120305475)
('3041232', 206.9421120305475)
('40769146', 206.9421120305475)
('43533841', 206.9421120305475)
('3007164', 206.8516030432979)
('439246', 206.84969192615543)
('439256', 206.84969192615543)
('444196', 205.93934096785375)
('444198', 205.93934096785375)
('380378', 205.72470021463718)
('4055361', 205.72470021463718)
('40483317', 205.72470021463718)
('437045', 205.2811157365077)
